full_date,month,quarter,year,id_date
1997-12-01,12,4,1997,124
1997-10-22,10,4,1997,125
1997-07-31,7,3,1997,126
1997-07-10,7,3,1997,127
1997-04-11,4,2,1997,128
1996-12-24,12,4,1996,129
1997-12-19,12,4,1997,130
1997-12-17,12,4,1997,131
1997-06-17,6,2,1997,132
1997-07-25,7,3,1997,133
1997-01-01,1,1,1997,134
1998-02-02,2,1,1998,135
1998-03-23,3,1,1998,136
1998-02-04,2,1,1998,137
1997-02-07,2,1,1997,138
1996-11-25,11,4,1996,139
1997-06-12,6,2,1997,140
1997-01-27,1,1,1997,141
1997-11-10,11,4,1997,142
1997-09-26,9,3,1997,143
1997-08-18,8,3,1997,144
1997-04-18,4,2,1997,145
1997-05-14,5,2,1997,146
1997-01-09,1,1,1997,147
1997-12-12,12,4,1997,148
1996-10-10,10,4,1996,149
1996-07-30,7,3,1996,150
1997-02-14,2,1,1997,151
1997-03-28,3,1,1997,152
1996-08-02,8,3,1996,153
1998-04-17,4,2,1998,154
1997-12-11,12,4,1997,155
1996-08-26,8,3,1996,156
1997-01-31,1,1,1997,157
1997-08-08,8,3,1997,158
1997-07-01,7,3,1997,159
1997-03-17,3,1,1997,160
1998-02-24,2,1,1998,161
1997-10-31,10,4,1997,162
1998-01-30,1,1,1998,163
1997-08-13,8,3,1997,164
1997-12-31,12,4,1997,165
1997-01-03,1,1,1997,166
1996-12-09,12,4,1996,167
1996-09-27,9,3,1996,168
1996-09-10,9,3,1996,169
1996-08-28,8,3,1996,170
1997-08-20,8,3,1997,171
1997-06-02,6,2,1997,172
1996-07-17,7,3,1996,173
1998-03-11,3,1,1998,174
1997-07-07,7,3,1997,175
1998-01-05,1,1,1998,176
1997-12-24,12,4,1997,177
1997-03-26,3,1,1997,178
1996-12-19,12,4,1996,179
1998-03-02,3,1,1998,180
1997-12-10,12,4,1997,181
1997-08-04,8,3,1997,182
1997-03-03,3,1,1997,183
1997-04-01,4,2,1997,184
1996-11-01,11,4,1996,185
1996-08-12,8,3,1996,186
1997-05-09,5,2,1997,187
1997-01-30,1,1,1997,188
1997-10-16,10,4,1997,189
1996-12-23,12,4,1996,190
1997-09-16,9,3,1997,191
1997-09-12,9,3,1997,192
1998-02-18,2,1,1998,193
1996-11-11,11,4,1996,194
1997-07-23,7,3,1997,195
1998-04-21,4,2,1998,196
1997-09-05,9,3,1997,197
1997-09-17,9,3,1997,198
1997-08-12,8,3,1997,199
1997-02-20,2,1,1997,200
1997-02-12,2,1,1997,201
1997-10-21,10,4,1997,202
1996-08-14,8,3,1996,203
1996-12-25,12,4,1996,204
1997-08-15,8,3,1997,205
1997-02-28,2,1,1997,206
1997-09-09,9,3,1997,207
1997-08-07,8,3,1997,208
1997-06-16,6,2,1997,209
1998-02-19,2,1,1998,210
1997-09-24,9,3,1997,211
1997-05-19,5,2,1997,212
1997-12-15,12,4,1997,213
1997-01-02,1,1,1997,214
1996-10-16,10,4,1996,215
1998-05-04,5,2,1998,216
1997-03-12,3,1,1997,217
1997-12-08,12,4,1997,218
1998-04-08,4,2,1998,219
1997-04-09,4,2,1997,220
1998-03-20,3,1,1998,221
1997-04-03,4,2,1997,222
1997-12-04,12,4,1997,223
1997-05-29,5,2,1997,224
1996-12-12,12,4,1996,225
1997-01-14,1,1,1997,226
1997-06-09,6,2,1997,227
1997-02-19,2,1,1997,228
1997-08-21,8,3,1997,229
1998-01-15,1,1,1998,230
1997-09-02,9,3,1997,231
1997-11-06,11,4,1997,232
1997-03-11,3,1,1997,233
1997-09-10,9,3,1997,234
1996-10-23,10,4,1996,235
1996-09-13,9,3,1996,236
1996-08-30,8,3,1996,237
1997-10-30,10,4,1997,238
1998-02-23,2,1,1998,239
1996-09-03,9,3,1996,240
1998-02-06,2,1,1998,241
1996-09-02,9,3,1996,242
1996-11-06,11,4,1996,243
1997-04-15,4,2,1997,244
1996-10-31,10,4,1996,245
1998-05-06,5,2,1998,246
1997-08-19,8,3,1997,247
1997-05-12,5,2,1997,248
1996-08-15,8,3,1996,249
1997-07-15,7,3,1997,250
1996-07-12,7,3,1996,251
1998-01-08,1,1,1998,252
1997-03-10,3,1,1997,253
1996-10-28,10,4,1996,254
1998-04-03,4,2,1998,255
1996-10-01,10,4,1996,256
1996-11-27,11,4,1996,257
1998-04-09,4,2,1998,258
1997-12-30,12,4,1997,259
1998-04-30,4,2,1998,260
1996-10-25,10,4,1996,261
1996-07-24,7,3,1996,262
1997-05-02,5,2,1997,263
1998-04-06,4,2,1998,264
1997-07-29,7,3,1997,265
1998-04-15,4,2,1998,266
1996-10-29,10,4,1996,267
1998-02-05,2,1,1998,268
1997-09-22,9,3,1997,269
1998-03-13,3,1,1998,270
1998-01-29,1,1,1998,271
1996-07-10,7,3,1996,272
1998-03-04,3,1,1998,273
1996-08-22,8,3,1996,274
1997-10-15,10,4,1997,275
1997-06-23,6,2,1997,276
1997-04-17,4,2,1997,277
1996-08-07,8,3,1996,278
1997-07-24,7,3,1997,279
1996-10-30,10,4,1996,280
1998-03-06,3,1,1998,281
1997-04-10,4,2,1997,282
1998-01-02,1,1,1998,283
1996-11-04,11,4,1996,284
1996-11-19,11,4,1996,285
1996-07-19,7,3,1996,286
1997-02-26,2,1,1997,287
1997-06-03,6,2,1997,288
1996-09-20,9,3,1996,289
1998-03-24,3,1,1998,290
1997-09-15,9,3,1997,291
1996-09-09,9,3,1996,292
1997-09-19,9,3,1997,293
1996-09-30,9,3,1996,294
1997-06-25,6,2,1997,295
1997-06-18,6,2,1997,296
1997-04-24,4,2,1997,297
1997-01-07,1,1,1997,298
1997-08-06,8,3,1997,299
1996-12-05,12,4,1996,300
1997-01-08,1,1,1997,301
1998-01-06,1,1,1998,302
1997-01-20,1,1,1997,303
1996-08-19,8,3,1996,304
1998-04-23,4,2,1998,305
1997-05-13,5,2,1997,306
1997-02-11,2,1,1997,307
1996-07-25,7,3,1996,308
1998-03-05,3,1,1998,309
1998-01-27,1,1,1998,310
1997-02-24,2,1,1997,311
1997-07-18,7,3,1997,312
1998-04-27,4,2,1998,313
1997-10-07,10,4,1997,314
1997-02-17,2,1,1997,315
1997-02-18,2,1,1997,316
1996-10-03,10,4,1996,317
1997-09-01,9,3,1997,318
1996-08-21,8,3,1996,319
1996-07-05,7,3,1996,320
1997-05-21,5,2,1997,321
1996-12-03,12,4,1996,322
1996-11-08,11,4,1996,323
1997-11-20,11,4,1997,324
1998-02-11,2,1,1998,325
1998-02-09,2,1,1998,326
1997-01-13,1,1,1997,327
1996-10-22,10,4,1996,328
1997-11-17,11,4,1997,329
1997-06-06,6,2,1997,330
1996-07-22,7,3,1996,331
1997-05-01,5,2,1997,332
1996-11-13,11,4,1996,333
1997-10-20,10,4,1997,334
1997-11-11,11,4,1997,335
1996-08-06,8,3,1996,336
1997-05-20,5,2,1997,337
1996-10-02,10,4,1996,338
1996-11-28,11,4,1996,339
1997-10-09,10,4,1997,340
1998-01-23,1,1,1998,341
1998-03-19,3,1,1998,342
1997-10-02,10,4,1997,343
1997-03-27,3,1,1997,344
1997-03-25,3,1,1997,345
1998-02-16,2,1,1998,346
1997-11-04,11,4,1997,347
1996-07-04,7,3,1996,348
1997-11-27,11,4,1997,349
1997-09-04,9,3,1997,350
1998-04-24,4,2,1998,351
1997-07-08,7,3,1997,352
1998-04-07,4,2,1998,353
1998-04-29,4,2,1998,354
1997-07-28,7,3,1997,355
1997-11-03,11,4,1997,356
1997-09-08,9,3,1997,357
1998-04-02,4,2,1998,358
1997-12-02,12,4,1997,359
1998-03-03,3,1,1998,360
1996-09-18,9,3,1996,361
1998-01-14,1,1,1998,362
1996-09-25,9,3,1996,363
1997-04-30,4,2,1997,364
1997-02-13,2,1,1997,365
1997-05-26,5,2,1997,366
1997-11-28,11,4,1997,367
1997-11-19,11,4,1997,368
1998-03-12,3,1,1998,369
1996-08-08,8,3,1996,370
1997-09-18,9,3,1997,371
1998-01-16,1,1,1998,372
1997-11-05,11,4,1997,373
1997-08-28,8,3,1997,374
1997-06-30,6,2,1997,375
1997-07-09,7,3,1997,376
1997-03-07,3,1,1997,377
1997-05-22,5,2,1997,378
1998-03-30,3,1,1998,379
1997-09-11,9,3,1997,380
1998-04-01,4,2,1998,381
1998-02-27,2,1,1998,382
1997-08-14,8,3,1997,383
1997-06-24,6,2,1997,384
1998-02-13,2,1,1998,385
1997-04-16,4,2,1997,386
1997-09-23,9,3,1997,387
1998-01-13,1,1,1998,388
1996-09-06,9,3,1996,389
1996-09-11,9,3,1996,390
1997-12-09,12,4,1997,391
1996-08-20,8,3,1996,392
1996-08-09,8,3,1996,393
1997-10-24,10,4,1997,394
1997-07-16,7,3,1997,395
1997-06-19,6,2,1997,396
1996-11-26,11,4,1996,397
1996-11-21,11,4,1996,398
1998-01-19,1,1,1998,399
1997-05-23,5,2,1997,400
1997-11-18,11,4,1997,401
1997-11-21,11,4,1997,402
1996-10-09,10,4,1996,403
1998-01-20,1,1,1998,404
1997-11-24,11,4,1997,405
1998-04-20,4,2,1998,406
1996-10-14,10,4,1996,407
1997-10-29,10,4,1997,408
1998-03-27,3,1,1998,409
1998-02-03,2,1,1998,410
1997-04-21,4,2,1997,411
1997-01-22,1,1,1997,412
1998-04-16,4,2,1998,413
1996-08-13,8,3,1996,414
1998-04-22,4,2,1998,415
1997-12-05,12,4,1997,416
1998-01-12,1,1,1998,417
1996-12-04,12,4,1996,418
1998-03-25,3,1,1998,419
1996-10-21,10,4,1996,420
1996-12-10,12,4,1996,421
1998-02-25,2,1,1998,422
1997-11-12,11,4,1997,423
1997-08-05,8,3,1997,424
1996-07-11,7,3,1996,425
1998-02-20,2,1,1998,426
1996-08-01,8,3,1996,427
1996-09-12,9,3,1996,428
1997-02-25,2,1,1997,429
1996-11-07,11,4,1996,430
1997-04-07,4,2,1997,431
1997-07-03,7,3,1997,432
1998-03-17,3,1,1998,433
1997-07-02,7,3,1997,434
1996-09-24,9,3,1996,435
1996-07-18,7,3,1996,436
1996-12-17,12,4,1996,437
1998-01-09,1,1,1998,438
1997-10-13,10,4,1997,439
1996-08-27,8,3,1996,440
1996-07-16,7,3,1996,441
1997-08-26,8,3,1997,442
1997-02-06,2,1,1997,443
1997-04-04,4,2,1997,444
1997-11-25,11,4,1997,445
1997-05-05,5,2,1997,446
1996-07-26,7,3,1996,447
1997-07-14,7,3,1997,448
1997-03-18,3,1,1997,449
1996-07-29,7,3,1996,450
1998-04-28,4,2,1998,451
1996-10-04,10,4,1996,452
1998-01-21,1,1,1998,453
1997-04-28,4,2,1997,454
1997-11-13,11,4,1997,455
1996-11-05,11,4,1996,456
1998-02-10,2,1,1998,457
1997-10-14,10,4,1997,458
1997-05-06,5,2,1997,459
1997-08-27,8,3,1997,460
1998-01-26,1,1,1998,461
1997-04-02,4,2,1997,462
1996-10-17,10,4,1996,463
1997-12-22,12,4,1997,464
1997-03-21,3,1,1997,465
1996-10-07,10,4,1996,466
1997-06-05,6,2,1997,467
1996-11-29,11,4,1996,468
1996-11-18,11,4,1996,469
1996-09-26,9,3,1996,470
1997-01-28,1,1,1997,471
1998-02-12,2,1,1998,472
1997-09-25,9,3,1997,473
1996-07-23,7,3,1996,474
1997-12-23,12,4,1997,475
1997-04-29,4,2,1997,476
1997-02-05,2,1,1997,477
1997-10-03,10,4,1997,478
1997-03-13,3,1,1997,479
1997-12-03,12,4,1997,480
